GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
json iterator,com.jsoniter.fuzzy,MaybeStringFloatDecoder,32,0,4,0,10,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,MaybeEmptyArrayDecoder,5,21,1,3,1,7,1,3,0,2
json iterator,com.jsoniter.fuzzy,StringDoubleDecoder,34,0,4,0,9,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,StringFloatDecoder,34,0,4,0,9,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,StringIntDecoder,14,20,2,2,2,7,2,2,0,2
json iterator,com.jsoniter.fuzzy,MaybeStringIntDecoder,32,0,4,0,10,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,StringLongDecoder,34,0,4,0,9,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,MaybeStringShortDecoder,32,0,4,0,10,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,StringShortDecoder,34,0,4,0,9,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,MaybeStringDoubleDecoder,32,0,4,0,10,0,4,0,2,0
json iterator,com.jsoniter.fuzzy,MaybeStringLongDecoder,32,0,4,0,10,0,4,0,2,0
json iterator,com.jsoniter.output,CodegenImplArray,54,387,13,43,14,111,14,19,1,4
json iterator,com.jsoniter.output,CodegenImplObject,12,415,3,63,4,98,4,35,1,5
json iterator,com.jsoniter.output,StreamImplString,205,346,37,39,47,67,24,25,2,6
json iterator,com.jsoniter.output,ReflectionMapEncoder,9,98,1,9,4,31,2,7,1,3
json iterator,com.jsoniter.output,ReflectionCollectionEncoder,25,41,3,5,7,16,4,3,1,2
json iterator,com.jsoniter.output,MapKeyEncoders.StringKeyEncoder,0,4,0,0,0,2,0,1,0,1
json iterator,com.jsoniter.output,CodegenAccess,98,17,0,2,34,5,13,2,13,1
json iterator,com.jsoniter.output,CodegenResult,41,305,6,32,7,68,6,24,0,11
json iterator,com.jsoniter.output,MapKeyEncoders.NumberKeyEncoder,0,18,0,0,0,7,0,2,0,2
json iterator,com.jsoniter.output,ReflectionArrayEncoder,3,52,1,5,2,17,1,5,0,3
json iterator,com.jsoniter.output,StreamImplNumber,242,693,12,56,53,141,12,30,1,7
json iterator,com.jsoniter.output,CodegenImplNative.new IdentityHashMap() {...},0,163,0,0,0,22,0,1,0,1
json iterator,com.jsoniter.output,ReflectionEncoderFactory,3,58,0,10,1,13,1,6,1,1
json iterator,com.jsoniter.output,MapKeyEncoders,14,59,3,11,3,17,4,6,1,2
json iterator,com.jsoniter.output,CodegenAccess.StaticCodegenTarget,6,0,0,0,3,0,1,0,1,0
json iterator,com.jsoniter.output,DynamicCodegen,18,53,1,1,5,13,2,2,1,2
json iterator,com.jsoniter.output,ReflectionListEncoder,3,66,1,7,2,20,1,6,0,3
json iterator,com.jsoniter.output,JsonStreamPool,16,45,4,4,7,14,4,4,1,3
json iterator,com.jsoniter.output,ReflectionObjectEncoder,85,235,7,29,23,56,6,17,1,4
json iterator,com.jsoniter.output,ReflectionEnumEncoder,4,14,0,0,1,6,1,2,1,2
json iterator,com.jsoniter.output,Codegen,179,298,11,41,39,85,14,26,5,9
json iterator,com.jsoniter.output,CodegenImplNative.1.new Encoder.ReflectionEncoder() {...},12,3,0,0,4,1,2,1,2,1
json iterator,com.jsoniter.output,CodegenImplNative.1.new Encoder.ReflectionEncoder() {...},0,15,0,0,0,5,0,3,0,3
json iterator,com.jsoniter.output,CodegenImplNative.1.new Encoder.ReflectionEncoder() {...},13,3,0,0,4,1,2,1,2,1
json iterator,com.jsoniter.output,CodegenImplNative.1.new Encoder.ReflectionEncoder() {...},7,8,0,0,2,3,1,2,1,2
json iterator,com.jsoniter.output,CodegenImplNative.1.new Encoder.ReflectionEncoder() {...},7,8,0,0,2,3,1,2,1,2
json iterator,com.jsoniter.output,CodegenImplNative.1.new Encoder.ReflectionEncoder() {...},13,3,0,0,4,1,2,1,2,1
json iterator,com.jsoniter.output,CodegenImplNative.1.new Encoder.ReflectionEncoder() {...},12,3,0,0,4,1,2,1,2,1
